CSE 2441,INTRODUCTION TO DIGITAL LOGIC,003-LAB(89203),Th 3:30PM - 6:20PM,ERB 127,Bill D Carroll,08/22/2013 - 12/04/2013
CSE 3302,PROGRAMMING LANGUAGES,001-LEC(81793),MoWeFr 1:00PM - 1:50PM,WH  308,Bob P Weems,08/22/2013 - 12/04/2013
CSE 3310,FUNDAMENTALS OF SOFTWARE ENGINEERING,001-LEC(88430),TuTh 2:00PM - 3:20PM,NH  229,Bahra Khalili Najafabadi,08/22/2013 - 12/04/2013
CSE 3315,THEORETICAL CONCEPTS IN COMPUTER SCIENCE AND ENGINEERING,001-LEC(81795),MoWeFr 2:00PM - 2:50PM,NH  229,Linda S Barasch,08/22/2013 - 12/04/2013
CSE 3320,OPERATING SYSTEMS,001-LEC(81797),MoWe 4:00PM - 5:20PM,GACB105,David Levine,08/22/2013 - 12/04/2013
CSE 3330,DATABASE SYSTEMS AND FILE STRUCTURES,001-LEC(81798),TuTh 5:30PM - 6:50PM,GACB105,Upendranath Chakravarthy,08/22/2013 - 12/04/2013
CSE 3380,LINEAR ALGEBRA FOR CSE,001-LEC(88800),TuTh 9:30AM - 10:50AM,ERB 130,Darin Brezeale,08/22/2013 - 12/04/2013
CSE 3442,EMBEDDED SYSTEMS I,001-LEC(81800),TuTh 12:30PM - 1:50PM,ERB 129,Roger S Walker,08/22/2013 - 12/04/2013
CSE 3442,EMBEDDED SYSTEMS I,002-LAB(81801),Tu 2:00PM - 3:50PM,ERB 126,Roger S Walker,08/22/2013 - 12/04/2013
CSE 3442,EMBEDDED SYSTEMS I,003-LAB(81802),Tu 6:00PM - 7:50PM,ERB 126,Roger S Walker,08/22/2013 - 12/04/2013
CSE 3442,EMBEDDED SYSTEMS I,004-LAB(85630),We 7:00PM - 9:50PM,ERB 126,Roger S Walker,08/22/2013 - 12/04/2013
CSE 4308,ARTIFICIAL INTELLIGENCE I,001-LEC(81805),TuTh 12:30PM - 1:50PM,WH  308,Manfred Huber,08/22/2013 - 12/04/2013
CSE 4314,PROFESSIONAL PRACTICES,001-LEC(81796),TuTh 11:00AM - 12:20PM,ERB 129,Bill D Carroll,08/22/2013 - 12/04/2013
CSE 4316,COMPUTER SYSTEM DESIGN PROJECT I,001-LEC(81806),MoWe 9:00AM - 9:50AM,ERB 131,James M O'Dell,08/22/2013 - 12/04/2013
CSE 4316,COMPUTER SYSTEM DESIGN PROJECT I,002-LAB(81807),Fr 9:00AM - 10:50AM,ERB 131,James M O'Dell,08/22/2013 - 12/04/2013
CSE 4316,COMPUTER SYSTEM DESIGN PROJECT I,003-LEC(87310),Fr 9:00AM - 11:50AM,ERB 129,Vassilis Athitsos,08/22/2013 - 12/04/2013
CSE 4316,COMPUTER SYSTEM DESIGN PROJECT I,004-LAB(87311),We 11:00AM - 11:50AM,ERB 131,Vassilis Athitsos,08/22/2013 - 12/04/2013
CSE 4317,COMPUTER SYSTEM DESIGN PROJECT II,001-LEC(81808),MoWe 10:00AM - 10:50AM,ERB 131,James M O'Dell,08/22/2013 - 12/04/2013
CSE 4317,COMPUTER SYSTEM DESIGN PROJECT II,002-LAB(81809),Fr 10:00AM - 11:50AM,ERB 131,James M O'Dell,08/22/2013 - 12/04/2013
CSE 4322,SOFTWARE PROJECT MANAGEMENT,001-LEC(81811),MoWe 4:00PM - 5:20PM,ERB 130,Christoph Csallner,08/22/2013 - 12/04/2013
CSE 4323,QUANTITATIVE COMPUTER ARCHITECTURE,001-LEC(81812),MoWe 5:30PM - 6:50PM,NH  110,David Levine,08/22/2013 - 12/04/2013
CSE 4334,DATA MINING,001-LEC(84033),MoWe 4:00PM - 5:20PM,WH  402,Chengkai Li,08/22/2013 - 12/04/2013
CSE 4344,COMPUTER NETWORK ORGANIZATION,001-LEC(81813),TuTh 12:30PM - 1:50PM,GS  104,Yonghe Liu,08/22/2013 - 12/04/2013
CSE 4345,COMPUTATIONAL METHODS,001-LEC(81799),MoWe 1:00PM - 2:20PM,WH  210,Darin Brezeale,08/22/2013 - 12/04/2013
CSE 4361,SOFTWARE DESIGN PATTERNS,001-LEC(81814),TuTh 3:30PM - 4:50PM,ERB 130,David C Kung,08/22/2013 - 12/04/2013
CSE 4380,INFORMATION SECURITY,001-LEC(84095),MoWe 4:00PM - 5:20PM,SH  103,Matthew Wright,08/22/2013 - 12/04/2013
CSE 4380,INFORMATION SECURITY,002-LAB(84535),Mo 5:30PM - 8:30PM,ERB 106,Matthew Wright,08/22/2013 - 12/04/2013
CSE 4380,INFORMATION SECURITY,003-LAB(84536),We 7:00PM - 9:50PM,ERB 106,Matthew Wright,08/22/2013 - 12/04/2013
CSE 4392,SPECIAL TOPICS,001-LEC(88259),TuTh 5:30PM - 6:50PM,NH  229,Leonidas Fegaras,08/22/2013 - 12/04/2013
CSE 4392,SPECIAL TOPICS,002-LEC(81816),MoWe 5:30PM - 6:50PM,COBA141,Gian-Luca Mariottini,08/22/2013 - 12/04/2013
CSE 4392,SPECIAL TOPICS,010-LEC(88864),TuTh 9:30AM - 10:50AM,WH  208,Dimitrios Zikos,08/22/2013 - 12/04/2013
CSE 5301,DATA ANALYSIS & MODELING TECHNIQUES,001-LEC(81819),Fr 9:00AM - 11:50AM,ERB 130,Gergely Zaruba,08/22/2013 - 12/04/2013
CSE 5306,Distributed Systems,001-LEC(81820),TuTh 11:00AM - 12:20PM,ERB 131,Sarker Tanve Ahmed Rumee,08/22/2013 - 12/04/2013
CSE 5307,PROGRAMMING LANGUAGE CONCEPTS,001-LEC(86967),MoWeFr 1:00PM - 1:50PM,WH  308,Bob P Weems,08/22/2013 - 12/04/2013
CSE 5311,DESIGN AND ANALYSIS OF ALGORITHMS,001-LEC(89006),TuTh 12:30PM - 1:50PM,COBA140,Gautam Das,08/22/2013 - 12/04/2013
